"trip_id","arrival_time","departure_time","stop_id","stop_sequence"
"tmp_1d_1",,,"bandung_terminal_leuwipanjang",1
"tmp_1d_1",,,"bandung_hotel_grand_pasundan",2
"tmp_1d_1",,,"bandung_bumi_kopo_kencana",3
"tmp_1d_1",,,"bandung_mall_festival_citylink",4
"tmp_1d_1",,,"bandung_simpang_pasir_koja_1",5
"tmp_1d_1",,,"bandung_spbu_pasir_koja",6
"tmp_1d_1",,,"bandung_hotel_soreang_a",7
"tmp_1d_1",,,"bandung_mall_pelayanan_publik_a",8
"tmp_1d_1",,,"bandung_plaza_pemkab_a",9
"tmp_1d_1",,,"bandung_simpang_desa_soreang",10
"tmp_1d_1",,,"bandung_pasar_ikan_modern",11
"tmp_1d_1",,,"bandung_rsud_otto_iskandar_dinata",12
"tmp_1d_2",,,"bandung_pengendapan_tmp_1d",1
"tmp_1d_2",,,"bandung_hotel_soreang_b",2
"tmp_1d_2",,,"bandung_sumber_sari_junction",3
"tmp_1d_2",,,"bandung_halte_soekarno_hatta_3",4
"tmp_1d_2",,,"bandung_halte_soekarno_hatta_leuwi_panjang",5
"tmp_1d_2",,,"bandung_terminal_leuwipanjang",6
"tmp_2d_1",,,"bandung_alun_alun",1
"tmp_2d_1",,,"bandung_keb_hana_bank",2
"tmp_2d_1",,,"bandung_gki_anugerah",3
"tmp_2d_1",,,"bandung_mayapada_tower",4
"tmp_2d_1",,,"bandung_toko_ambon",5
"tmp_2d_1",,,"bandung_kemenag_kanwil_jabar",6
"tmp_2d_1",,,"bandung_optik_krida",7
"tmp_2d_1",,,"bandung_halte_sudirman_3",8
"tmp_2d_1",,,"bandung_kebon_kopi",9
"tmp_2d_1",,,"bandung_sman_13_b",10
"tmp_2d_1",,,"bandung_cilembar",11
"tmp_2d_1",,,"bandung_rs_mitra_kasih",12
"tmp_2d_1",,,"bandung_rsud_cibabat_b",13
"tmp_2d_1",,,"bandung_smpn_6_cimahi",14
"tmp_2d_1",,,"bandung_gedung_4",15
"tmp_2d_1",,,"bandung_buana",16
"tmp_2d_1",,,"bandung_pln_cisangkan_b",17
"tmp_2d_1",,,"bandung_ranca_belut_b",18
"tmp_2d_1",,,"bandung_padasuka_indah_b",19
"tmp_2d_1",,,"bandung_masjid_ar_ridwan_b",20
"tmp_2d_1",,,"bandung_rs_imc_b",21
"tmp_2d_1",,,"bandung_rs_karisma_cimareme_b",22
"tmp_2d_1",,,"bandung_stei_lppm_b",23
"tmp_2d_1",,,"bandung_bale_pare_b",24
"tmp_2d_1",,,"bandung_tatar_wangsakerta_b",25
"tmp_2d_1",,,"bandung_parahyangan_selatan",26
"tmp_2d_1",,,"bandung_ikea_kota_baru_parahyangan",27
"tmp_2d_2",,,"bandung_ikea_kota_baru_parahyangan",1
"tmp_2d_2",,,"bandung_parahyangan_timur",2
"tmp_2d_2",,,"bandung_parahyangan_timur_2",3
"tmp_2d_2",,,"bandung_parahyangan_utara",4
"tmp_2d_2",,,"bandung_tatar_wangsakerta_a",5
"tmp_2d_2",,,"bandung_bale_pare_a",6
"tmp_2d_2",,,"bandung_stei_lppm_a",7
"tmp_2d_2",,,"bandung_rs_karisma_cimareme_a",8
"tmp_2d_2",,,"bandung_rs_imc_a",9
"tmp_2d_2",,,"bandung_masjid_ar_ridwan_a",10
"tmp_2d_2",,,"bandung_padasuka_indah_a",11
"tmp_2d_2",,,"bandung_ranca_belut_a",12
"tmp_2d_2",,,"bandung_pln_cisangkan_a",13
"tmp_2d_2",,,"bandung_bri_kota_cimahi",14
"tmp_2d_2",,,"bandung_rsud_cibabat_a",15
"tmp_2d_2",,,"bandung_dinas_sosial_superindo",16
"tmp_2d_2",,,"bandung_jalan_budi",17
"tmp_2d_2",,,"bandung_sman_13_a",18
"tmp_2d_2",,,"bandung_paledang",19
"tmp_2d_2",,,"bandung_halte_rajawali_barat",20
"tmp_2d_2",,,"bandung_plaza_telkom_rajawali",21
"tmp_2d_2",,,"bandung_rajawali_1",22
"tmp_2d_2",,,"bandung_dungus_cariang",23
"tmp_2d_2",,,"bandung_sma_trinitas",24
